"scenario","n_per_arm","design_wr","buysetest_wr","buysetest_p","buysetest_reject","disjoint_wins","disjoint_losses","disjoint_neutral","disjoint_wr","adaptive_reject","adaptive_crossing","adaptive_final_evalue","fixed_reject","fixed_crossing","fixed_final_evalue","sim"
"composite_alt",250,1.3,1.26901434017063,0.00856007547976068,TRUE,141,109,0,1.29357798165138,FALSE,NA,1.64243665379179,TRUE,211,7.79027137906702,187
"composite_alt",250,1.3,1.38294951959738,0.000507527803304542,TRUE,151,99,0,1.52525252525253,TRUE,140,59.1855736869776,TRUE,136,107.395506341261,188
"composite_alt",250,1.3,1.35378300003766,0.00124333934216447,TRUE,140,110,0,1.27272727272727,FALSE,NA,1.44825112361064,TRUE,211,5.99251644543617,189
"composite_alt",250,1.3,1.16547709791421,0.061870824986285,FALSE,145,105,0,1.38095238095238,FALSE,NA,8.15568888399102,TRUE,181,22.2497940857533,190
"composite_alt",250,1.3,1.35520217055432,0.00106048321349372,TRUE,136,114,0,1.19298245614035,FALSE,NA,0.611376575392528,FALSE,NA,2.09814657940414,191
"composite_alt",250,1.3,1.30576256179444,0.00354358114341813,TRUE,145,105,0,1.38095238095238,FALSE,NA,7.58331449011977,TRUE,245,22.2497940857534,192
"composite_alt",250,1.3,1.35866857876066,0.00115359172977481,TRUE,137,113,0,1.21238938053097,TRUE,142,0.899659217950905,TRUE,136,2.72759055322538,193
"composite_alt",250,1.3,1.11713695335524,0.133894540267219,FALSE,129,121,0,1.06611570247934,FALSE,NA,0.304500864469891,FALSE,NA,0.334373891163698,194
"composite_alt",250,1.3,1.43484358564806,0.000150768941649893,TRUE,155,95,0,1.63157894736842,TRUE,149,73.0625199867492,TRUE,111,306.732305661276,195
"composite_alt",250,1.3,1.34363281835908,0.00145015509340052,TRUE,142,108,0,1.31481481481481,TRUE,124,1.5664139350507,TRUE,121,10.1273527927871,196
"composite_alt",250,1.3,1.28152150105863,0.00649364257088858,TRUE,132,118,0,1.11864406779661,FALSE,NA,0.374354190814926,FALSE,NA,0.734619438886644,197
"composite_alt",250,1.3,1.20559692275117,0.0303050139521442,TRUE,131,119,0,1.10084033613445,FALSE,NA,0.385220173977945,FALSE,NA,0.565091876066649,198
"composite_alt",250,1.3,1.2259420186623,0.0205720501842674,TRUE,137,113,0,1.21238938053097,FALSE,NA,0.80971432693399,FALSE,NA,2.72759055322539,199
"composite_alt",250,1.3,1.116706742981,0.131836562727745,FALSE,129,121,0,1.06611570247934,FALSE,NA,0.283114899687217,FALSE,NA,0.334373891163697,200
"composite_alt",250,1.3,1.61878823430822,1.15910053855028e-06,TRUE,166,84,0,1.97619047619048,TRUE,55,26156.2459997437,TRUE,57,5497.13489777792,201
"composite_alt",250,1.3,1.27885947640925,0.00664577607219152,TRUE,137,113,0,1.21238938053097,FALSE,NA,1.04393385527422,FALSE,NA,2.72759055322539,202
"composite_alt",250,1.3,1.46489982647105,8.9986238963613e-05,TRUE,153,97,0,1.57731958762887,TRUE,157,182.153498295465,TRUE,153,181.498405716732,203
"composite_alt",250,1.3,1.19175199887782,0.0385405042559439,TRUE,134,116,0,1.1551724137931,FALSE,NA,0.380701446801947,FALSE,NA,1.24150685171843,204
"composite_alt",250,1.3,1.42511252522117,0.00021319982975021,TRUE,148,102,0,1.45098039215686,TRUE,248,20.6961733730988,TRUE,205,48.8827976064001,205
"composite_alt",250,1.3,1.1551724137931,0.071080841759426,FALSE,141,109,0,1.29357798165138,FALSE,NA,1.02619356954678,TRUE,106,7.79027137906703,206
"composite_alt",250,1.3,1.24602005246703,0.0132575612350015,TRUE,146,104,0,1.40384615384615,FALSE,NA,2.9063204413262,TRUE,117,28.9247323114794,207
"composite_alt",250,1.3,1.27620365649355,0.00744714868714424,TRUE,134,116,0,1.1551724137931,FALSE,NA,0.629487403055649,FALSE,NA,1.24150685171843,208
