"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.5,0,0.358286909242583,124,248,1,20,35,0,0,NA,0.319377277637349,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,30,35,0,0,NA,0.649329075958458,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,0,50,0,0,NA,0.450503740486923,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,10,50,0,0,NA,0.678725739093305,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,20,50,0,0,NA,0.464810707048318,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,30,50,0,0,NA,0.301069053004584,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,0,75,0.5,0.353553390593274,100,13.5816077385511,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,10,75,0,0,NA,0.552410554704844,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,20,75,0,0,NA,0.838835639842098,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,30,75,0,0,NA,0.563693779516395,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,0,100,0,0,NA,2.48748924324136,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,10,100,0,0,NA,0.601008392708899,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,20,100,0,0,NA,0.849920519797456,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,30,100,0,0,NA,0.985893112912077,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,20,0.5,0.353553390593274,119,24.7314587650211,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,20,0,0,NA,2.24518552914426,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,20,20,0.5,0.353553390593274,62,8.95813892235599,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,20,1,0,114,37.5545692837792,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,35,0,0,NA,1.40669621424632,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,35,0.5,0.353553390593274,67,9.4684711365492,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,20,35,0,0,NA,0.310696601230448,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,35,0,0,NA,0.91634383205783,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,50,0,0,NA,8.46437781668953,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,50,1,0,96.5,43.8939424864764,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,20,50,0.5,0.353553390593274,83,1.16009198077445,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,50,0.5,0.353553390593274,118,7.59121932802774,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,75,0,0,NA,7.22002886838372,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,75,0,0,NA,2.60112810405092,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,20,75,0.5,0.353553390593274,117,22.4980282839508,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,75,0,0,NA,0.761198625061812,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,100,0,0,NA,1.28874589242474,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,100,0,0,NA,1.42237273887162,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,20,100,0,0,NA,2.46325129377731,0.8,0.05,2
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,100,0.5,0.353553390593274,115,7.73991306849355,0.8,0.05,2
