"sim","true_hr","method","n_patients","n_events_available","crossed","crossing_event","final_evalue","log_final_evalue","final_log_hr","final_hr"
983,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.000795046349355654,-7.13711014393309,-0.0450457456931389,0.955953750065932
983,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,0.00277009798077006,-5.88887258728932,-0.0489835837466796,0.952196761073441
984,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0235277101671763,-3.74957639644044,0.0497689442357114,1.0510282221892
984,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0235277101671763,-3.74957639644044,0.0497689442357114,1.0510282221892
984,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.027694243471371,-3.58653070430379,0.0539462241661893,1.05542784411664
985,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,0.00218101415374726,-6.12796530221595,0.026303045204313,1.02665202330835
985,1,"Staggered entry, time-on-study order",631,628,FALSE,NA,0.00218101415374726,-6.12796530221595,0.026303045204313,1.02665202330835
985,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.00392031403059186,-5.54158351854352,0.0328298923234509,1.03337473931336
986,1,"Simultaneous entry, time-on-study order",631,630,TRUE,175,6.99404431744429,1.94505897511586,-0.176331577242684,0.838339962793684
986,1,"Staggered entry, time-on-study order",631,630,TRUE,175,6.99404431744429,1.94505897511586,-0.176331577242684,0.838339962793684
986,1,"Staggered entry, calendar-event order",631,630,TRUE,232,1.98753353720322,0.686894441468496,-0.17718740747773,0.837622793037831
987,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0115766267556095,-4.4587671484433,-0.0274453541323265,0.972927847587231
987,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0115766267556095,-4.4587671484433,-0.0274453541323265,0.972927847587231
987,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,0.000370933361504056,-7.89948813007764,-0.0228416238462066,0.977417271103691
988,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.00113507579417945,-6.78105585126566,-0.0314781204206119,0.969012157800235
988,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.00113507579417945,-6.78105585126566,-0.0314781204206119,0.969012157800235
988,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.00101933173722975,-6.88860802597545,-0.0276689071502679,0.97271037094035
989,1,"Simultaneous entry, time-on-study order",631,625,FALSE,NA,0.00576393488465646,-5.15613489781074,-0.0217748338548343,0.978460526434133
989,1,"Staggered entry, time-on-study order",631,625,FALSE,NA,0.00576393488465646,-5.15613489781074,-0.0217748338548343,0.978460526434133
989,1,"Staggered entry, calendar-event order",631,624,FALSE,NA,0.00659780923099241,-5.02101761975039,-0.0228202579982476,0.977438154675595
990,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,0.0238372922351701,-3.73650402397528,0.0341498204484861,1.0347396202697
990,1,"Staggered entry, time-on-study order",631,628,FALSE,NA,0.0238372922351701,-3.73650402397528,0.0341498204484861,1.0347396202697
990,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,0.006436678904494,-5.04574256994379,0.0382418533283289,1.03898248386613
991,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.000416651706541009,-7.78325992128219,0.0313004340462428,1.03179544380602
991,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.000416651706541009,-7.78325992128219,0.0313004340462428,1.03179544380602
991,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,4.23043445915906e-05,-10.0706207681652,0.0334395277603056,1.03400491324266
