"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","design_method","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,100,0.02,0.00442718872423573,175.5,0.412211134084449,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,20,100,0.017,0.00408790900094413,177,0.443685966587185,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,100,0.024,0.00483983470792134,146,0.483259405483878,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,20,0.31,0.0146253205093085,140,1.52434375002708,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,20,0.322,0.0147755202954075,164.5,1.71532015940045,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,20,20,0.338,0.0149584758581882,167.5,2.16639934142538,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,20,0.348,0.0150630674166984,184,2.21292646386435,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,35,0.35,0.0150831031289984,157,2.09454032951598,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,35,0.344,0.0150221170279026,153.5,2.11459426306875,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,20,35,0.381,0.0153570504980611,166,2.57353994599351,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,35,0.347,0.0150529399121899,184,2.29434926148917,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,50,0.353,0.0151126106282138,170,2.22174057036365,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,50,0.351,0.0150930116279025,178,2.459370790033,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,20,50,0.352,0.0151028474136502,178.5,2.39841376915498,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,50,0.352,0.0151028474136502,185,2.78843314241795,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,75,0.329,0.0148579608291313,173,2.58903452776563,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,75,0.374,0.0153011110707687,199.5,3.0110616736869,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,20,75,0.369,0.0152590628807932,189,2.95475541380397,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,75,0.346,0.0150427391122761,196.5,2.62913259704406,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,100,0.361,0.0151881203577006,183,2.88987842953339,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,100,0.358,0.0151603430040352,181.5,2.74965937825235,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,20,100,0.319,0.0147390298188178,178,2.42115993994065,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,100,0.349,0.0150731217735411,194,2.98579692176946,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,0,20,0.029,0.00530650544143695,38,0.221730424128475,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,10,20,0.017,0.00408790900094413,64,0.365469143331325,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,20,20,0.007,0.00263647491928143,68,0.46872851753344,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,30,20,0.01,0.00314642654451045,77,0.539277491807197,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,0,35,0.015,0.00384382621875651,50,0.311936226616096,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,10,35,0.014,0.00371537346709587,71.5,0.433595236289364,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,20,35,0.01,0.00314642654451045,81,0.507822319645966,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,30,35,0.006,0.00244213021765835,105,0.58758333950297,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,0,50,0.016,0.00396787096564392,67.5,0.37931063004867,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,10,50,0.01,0.00314642654451045,72.5,0.484438879944816,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,20,50,0.01,0.00314642654451045,104,0.552228865271125,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,30,50,0.006,0.00244213021765835,108.5,0.627068679705605,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,0,75,0.009,0.00298646948753876,110,0.474503739588341,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,10,75,0.001,0.000999499874937461,111,0.557991557039189,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,20,75,0.009,0.00298646948753876,108,0.652349514499889,0.8,0.05,1000
